datetime,symbol,Open,High,Low,Close,Volume,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Variance(1M),Variance(3M),Variance(6M),Variance(12M)
2022-01-04 10:00:00,BMFBOVESPA:IBOV,103921.59,104276.32,103096.26,103513.64,0.0,-3.1305122354372603,-6.231775920032674,-18.441853749663668,-13.31180232000646,1.4369219207331354,3.141434393845996,7.710023034964637,7.368396275257219,2.064744606283403,9.86861005083856,59.444455199685315,54.293263669224466
2022-01-05 10:00:00,BMFBOVESPA:IBOV,103513.64,103513.64,100849.56,101005.64,0.0,-6.091643673575301,-8.55712651474357,-19.25677533724802,-15.13360585407627,1.8336270628989997,3.2553319824558,7.879027921961915,7.6137838449327155,3.3621882057956123,10.597186315999608,62.079080995055484,57.9697044373584
2022-01-06 10:00:00,BMFBOVESPA:IBOV,101005.8,102234.71,100999.85,101561.05,0.0,-6.045097331961827,-8.139069281836031,-20.042448864423204,-14.550252152396824,1.992483492664812,3.251168095031213,7.825903130583425,7.62921098973889,3.969990468541768,10.570093982148887,61.24475980927546,58.204860325952644
2022-01-07 10:00:00,BMFBOVESPA:IBOV,101561.05,102719.47,101103.98,102719.47,0.0,-3.3603615876529465,-7.11301660625635,-18.10468287844072,-13.953148621488324,1.959183774009617,3.1973209853291764,7.685635660125771,7.590400836330113,3.838401060342566,10.222861483226335,59.0689955001969,57.61418485616088
2022-01-10 10:00:00,BMFBOVESPA:IBOV,102719.0,102719.0,101037.81,101945.2,0.0,-5.394607971874845,-9.649642126608128,-20.10177921612668,-14.403751869856013,2.079071782736393,3.2126696059349804,7.716472597485084,7.699646400139453,4.322539477770683,10.321245996898423,59.5439493477382,59.28455468718043
2022-01-11 10:00:00,BMFBOVESPA:IBOV,101946.05,103780.45,101918.4,103778.98,0.0,-3.356517567160348,-7.489270860670234,-19.02878212567375,-15.203497265044872,1.955588849604477,3.049547839284564,7.500727025418877,7.60154858648219,3.824327748697362,9.299742024085154,56.260905909849114,57.783540912649386
2022-01-12 10:00:00,BMFBOVESPA:IBOV,103778.98,105869.32,103771.37,105685.66,0.0,-1.006239045514454,-6.84870388429268,-17.694468917502697,-15.503271874210236,1.8438245320791924,2.892626417265442,7.259235900631064,7.483595155388574,3.3996889050970527,8.367287589861908,52.6965058610109,56.00419644975534
2022-01-13 10:00:00,BMFBOVESPA:IBOV,105686.39,106250.94,104974.25,105529.5,0.0,-1.770137868726745,-6.764100836962476,-17.210908348048154,-14.381251311811528,1.7992498825802834,2.7386124481843632,7.155006860896735,7.504576070568326,3.2373001399651637,7.499998141350352,51.194123179479355,56.318661998946745
2022-01-14 10:00:00,BMFBOVESPA:IBOV,105530.43,107061.73,105028.27,106927.79,0.0,-1.291043460994209,-6.733829350170038,-15.109900535295818,-13.76652042774884,1.7419809986130956,2.5490075176115106,6.949581506121044,7.415675535474225,3.034497799529078,6.497439324839996,48.29668311021964,54.99224364743094
2022-01-17 10:00:00,BMFBOVESPA:IBOV,106926.84,106927.76,106096.76,106373.87,0.0,-0.7711620163178273,-7.038746924053147,-14.486725586173105,-12.760450240410565,1.5996532451259662,2.312827390827422,6.894479296012203,7.462947005415592,2.5588905046420343,5.34917053976158,47.53384476314092,55.69557800564156
