Date,Selic anualizada base 252 - %a.a.,Selic %a.d.,Retorno Selic(1M),Retorno Selic(3M),Retorno Selic(6M),Retorno Selic(12M)
2022-01-06,9.15,0.0347492492516643,0.6972840451690665,1.873893028991258,3.1331373682362385,4.537612288641357
2022-01-07,9.15,0.0347492492516643,0.6972840451690665,1.88516037698081,3.1523296585770355,4.566128040507533
2022-01-10,9.15,0.0347492492516643,0.6972840451690665,1.8964289711494997,3.1715255204568082,4.59465157089578
2022-01-11,9.15,0.0347492492516643,0.6972840451690665,1.9076988116352611,3.1907249545399585,4.623182881927579
2022-01-12,9.15,0.0347492492516643,0.6972840451690665,1.9189698985759618,3.2099279614913767,4.651721975725676
2022-01-13,9.15,0.0347492492516643,0.6972840451690665,1.9302422321093582,3.229134541976042,4.680268854412795
2022-01-14,9.15,0.0347492492516643,0.6972840451690665,1.9415158123735843,3.248344696658889,4.708823520112682
2022-01-17,9.15,0.0347492492516643,0.6972840451690665,1.952790639506241,3.2675584262049417,4.737385974948993
2022-01-18,9.15,0.0347492492516643,0.6972840451690665,1.9640667136453072,3.28677573127949,4.765956221047096
2022-01-19,9.15,0.0347492492516643,0.6972840451690665,1.9753440349286722,3.3059966125480456,4.794534260532091
2022-01-20,9.15,0.0347492492516643,0.6972840451690665,1.9866226034945589,3.325221070675899,4.823120095529587
2022-01-21,9.15,0.0347492492516643,0.6972840451690665,1.997902419480524,3.3444491063290283,4.851713728166551
2022-01-24,9.15,0.0347492492516643,0.6972840451690665,2.0091834830247235,3.363680720172879,4.88031516056926
2022-01-25,9.15,0.0347492492516643,0.6972840451690665,2.020465794265136,3.382915912873208,4.9089243948658545
2022-01-26,9.15,0.0347492492516643,0.6972840451690665,2.0260681101435862,3.402154685096348,4.937541433184656
2022-01-27,9.15,0.0347492492516643,0.6972840451690665,2.031670733665747,3.421397037508278,4.96616627765416
2022-01-28,9.15,0.0347492492516643,0.6972840451690665,2.0372736648482936,3.440642970775376,4.994798930403688
2022-01-31,9.15,0.0347492492516643,0.6972840451690665,2.0428769037081906,3.4598924855635094,5.023439393563556
2022-02-01,9.15,0.0347492492516643,0.6972840451690665,2.048480450262491,3.4791455825398776,5.052087669263838
2022-02-02,9.15,0.0347492492516643,0.6972840451690665,2.05408430452787,3.494477720719491,5.08074375963572
2022-02-03,10.65,0.0401675413897573,0.7027382229079615,2.065216437669304,3.5154186463981496,5.115100823254104
2022-02-04,10.65,0.0401675413897573,0.7081926960674556,2.0763497851119084,3.5363638092342553,5.149469120213124
2022-02-07,10.65,0.0401675413897573,0.7136474646635582,2.087484346987911,3.5573132100848115,5.183848654186174
2022-02-08,10.65,0.0401675413897573,0.7191025287123454,2.098620123430006,3.578266849807199,5.218239428847071
2022-02-09,10.65,0.0401675413897573,0.7245578882297377,2.109757114570665,3.5992247292594204,5.252641447870876
2022-02-10,10.65,0.0401675413897573,0.7300135432317667,2.120895320542404,3.6201868492992118,5.287054714934003
2022-02-11,10.65,0.0401675413897573,0.7354694937344419,2.132034741477562,3.641153210784509,5.321479233714843
2022-02-14,10.65,0.0401675413897573,0.7409257397537505,2.143175377508899,3.6621238145737367,5.3559150078914985
2022-02-15,10.65,0.0401675413897573,0.7463822813057686,2.1543172287687096,3.6830986615253414,5.390362041143892
2022-02-16,10.65,0.0401675413897573,0.7518391184063944,2.1654602953898427,3.7040777524974366,5.42482033715348
2022-02-17,10.65,0.0401675413897573,0.7572962510717041,2.1766045775045484,3.72506108834898,5.459289899603181
2022-02-18,10.65,0.0401675413897573,0.762753679317707,2.1877500752458534,3.7460486699390616,5.493770732176073
2022-02-21,10.65,0.0401675413897573,0.768211403160346,2.198896788745852,3.767040498126639,5.528262838557385
2022-02-22,10.65,0.0401675413897573,0.7736694226157192,2.210044718137527,3.788036573770781,5.562766222433169
2022-02-23,10.65,0.0401675413897573,0.779127737699814,2.2211938635533057,3.809036897731133,5.597280887490275
2022-02-24,10.65,0.0401675413897573,0.7845863484286175,2.232344225125993,3.8300414708670516,5.631806837417486
2022-02-25,10.65,0.0401675413897573,0.7900452548181169,2.243495802988238,3.8510502940386715,5.666344075904872
2022-03-02,10.65,0.0401675413897573,0.7955044568844549,2.254648597272424,3.8720633681056382,5.70089260664246
2022-03-03,10.65,0.0401675413897573,0.8009639546434855,2.2658026081115334,3.8930806939282414,5.735452433322874
2022-03-04,10.65,0.0401675413897573,0.8064237481113512,2.2769578356381937,3.914102272366704,5.770023559639648
2022-03-07,10.65,0.0401675413897573,0.8064237481113512,2.2881142799852316,3.935128104281449,5.804605989286826
2022-03-08,10.65,0.0401675413897573,0.8064237481113512,2.2992719412850082,3.9561581905332543,5.8391997259603645
2022-03-09,10.65,0.0401675413897573,0.8064237481113512,2.304812889256147,3.9771925319828982,5.873804773357416
2022-03-10,10.65,0.0401675413897573,0.8064237481113512,2.310354137347659,3.9982311294912254,5.908421135175312
2022-03-11,10.65,0.0401675413897573,0.8064237481113512,2.315895685575975,4.019273983919436,5.943048815114205
2022-03-14,10.65,0.0401675413897573,0.8064237481113512,2.32143753395726,4.040321096129129,5.977687816874444
2022-03-15,10.65,0.0401675413897573,0.8064237481113512,2.326979682507746,4.061372466981439,6.012338144157936
2022-03-16,10.65,0.0401675413897573,0.8064237481113512,2.332522131243686,4.082428097338342,6.046999800667141
2022-03-17,11.65,0.0437392423015881,0.8100228064143122,2.3417186221595054,4.107204760355132,6.082373145538855
2022-03-18,11.65,0.0437392423015881,0.8136219932132649,2.350915939552123,4.131987321418906,6.117758289646158
2022-03-21,11.65,0.0437392423015881,0.8172213085127611,2.3601140834956125,4.156775781933475,6.1531552369247455
2022-03-22,11.65,0.0437392423015881,0.8208207523174638,2.369313054064426,4.181570143303048,6.188563991311802
2022-03-23,11.65,0.0437392423015881,0.8244203246319026,2.378512851332726,4.206370406932569,6.223984556745732
2022-03-24,11.65,0.0437392423015881,0.8280200254606518,2.3877134753748974,4.227261656098302,6.2594169371661845
2022-03-25,11.65,0.0437392423015881,0.831619854808352,2.396914926265281,4.248157093532745,6.294861136513963
2022-03-28,11.65,0.0437392423015881,0.8352198126795107,2.4061172040779955,4.269056720075648,6.330317158732046
2022-03-29,11.65,0.0437392423015881,0.8388198990788354,2.4153203088875808,4.289960536567072,6.365785007763569
2022-03-30,11.65,0.0437392423015881,0.8424201140108112,2.4245242407680667,4.310868543846724,6.401264687553865
2022-03-31,11.65,0.0437392423015881,0.8460204574801233,2.433728999794149,4.331780742754687,6.436756202048954
2022-04-01,11.65,0.0437392423015881,0.8496209294912793,2.442934586039791,4.352697134131578,6.4722595551965245
2022-04-04,11.65,0.0437392423015881,0.8532215300487866,2.452140999579644,4.3736177188179015,6.507774750945594
2022-04-05,11.65,0.0437392423015881,0.8568222591574637,2.461348240487937,4.39454249765403,6.543301793246181
2022-04-06,11.65,0.0437392423015881,0.8604231168217513,2.4705563088389892,4.415471471481203,6.578840686050547
2022-04-07,11.65,0.0437392423015881,0.8640241030462681,2.4797652047072516,4.436404641140013,6.61439143331064
2022-04-08,11.65,0.0437392423015881,0.8676252178356325,2.488974928166887,4.457342007471965,6.649954038981165
2022-04-11,11.65,0.0437392423015881,0.8712264611943299,2.498185479292503,4.478283571318276,6.685528507017668
2022-04-12,11.65,0.0437392423015881,0.8748278331270232,2.5073968581584616,4.49922933352036,6.721114841377229
2022-04-13,11.65,0.0437392423015881,0.8784293336383531,2.5166090648389927,4.520179294920035,6.756713046017437
2022-04-14,11.65,0.0437392423015881,0.8784293336383531,2.5258220994085034,4.541133456359203,6.7923231248979254
2022-04-18,11.65,0.0437392423015881,0.8784293336383531,2.5350359619415563,4.562091818679881,6.827945081979525
2022-04-19,11.65,0.0437392423015881,0.8784293336383531,2.5442506525125808,4.5830543827241055,6.863578921224889
2022-04-20,11.65,0.0437392423015881,0.8784293336383531,2.553466171195695,4.604021149334225,6.899224646596935
2022-04-22,11.65,0.0437392423015881,0.8784293336383531,2.5626825180655732,4.624992119352922,6.934882262060493
2022-04-25,11.65,0.0437392423015881,0.8784293336383531,2.5718996931966887,4.6459672936229435,6.970551771581612
2022-04-26,11.65,0.0437392423015881,0.8784293336383531,2.581117696663293,4.666946672987016,7.006233179127586
2022-04-27,11.65,0.0437392423015881,0.8784293336383531,2.590336528539794,4.68793025828822,7.041926488667749
2022-04-28,11.65,0.0437392423015881,0.8784293336383531,2.599556188900931,4.708918050369704,7.077631704171661
2022-04-29,11.65,0.0437392423015881,0.8784293336383531,2.608776677820912,4.72407857023962,7.113348829610655
2022-05-02,11.65,0.0437392423015881,0.8784293336383531,2.6179979953742327,4.7392412851601895,7.149077868957798
2022-05-03,11.65,0.0437392423015881,0.8784293336383531,2.6272201416353447,4.754406195449001,7.184818826186912
2022-05-04,11.65,0.0437392423015881,0.8784293336383531,2.6364431166787883,4.769573301423935,7.220571705273482
2022-05-05,12.65,0.0472792210744588,0.8819988473449225,2.649298966769842,4.7884503393128774,7.257033197685625
2022-05-06,12.65,0.0472792210744588,0.8855684873562808,2.6565961250219816,4.807330778404428,7.293507089214923
2022-05-09,12.65,0.0472792210744588,0.889138253676891,2.6638938020161262,4.826214619311631,7.329993384077849
2022-05-10,12.65,0.0472792210744588,0.8927081463112163,2.6711919977893794,4.845101862647394,7.366492086492271
2022-05-11,12.65,0.0472792210744588,0.8962781652637419,2.678490712378534,4.863992509024495,7.403003200677305
2022-05-12,12.65,0.0472792210744588,0.8998483105389088,2.685789945820516,4.882886559056332,7.439526730853996
2022-05-13,12.65,0.0472792210744588,0.9034185821412466,2.6930896981520513,4.901784013356036,7.4760626812445885
2022-05-16,12.65,0.0472792210744588,0.9069889800751074,2.700389969410266,4.92068487253734,7.512611056072149
2022-05-17,12.65,0.0472792210744588,0.9105595043451098,2.707690759631909,4.939589137213041,7.549171859562498
2022-05-18,12.65,0.0472792210744588,0.9141301549556058,2.7149920688538165,4.958496807997292,7.585745095941943
2022-05-19,12.65,0.0472792210744588,0.9177009319111251,2.722293897113115,4.977407885503449,7.622330769437946
2022-05-20,12.65,0.0472792210744588,0.9212718352161753,2.7295962444463973,4.996322370345685,7.658928884280081
2022-05-23,12.65,0.0472792210744588,0.9248428648751306,2.7368991108909,5.015240263137621,7.695539444699273
2022-05-24,12.65,0.0472792210744588,0.9284140208924763,2.74420249648315,5.034161564493589,7.732162454928093
2022-05-25,12.65,0.0472792210744588,0.9319853032727421,2.7515064012603174,5.053086275027274,7.768797919199866
2022-05-26,12.65,0.0472792210744588,0.9355567120203911,2.7588108252592614,5.072014395353341,7.805445841749559
