datetime,symbol,Open,High,Low,Close,Volume
2022-01-03 10:00:00,BMFBOVESPA:IBOV,104823.42,106125.47,103413.4,103921.59,0.0
2022-01-04 10:00:00,BMFBOVESPA:IBOV,103921.59,104276.32,103096.26,103513.64,0.0
2022-01-05 10:00:00,BMFBOVESPA:IBOV,103513.64,103513.64,100849.56,101005.64,0.0
2022-01-06 10:00:00,BMFBOVESPA:IBOV,101005.8,102234.71,100999.85,101561.05,0.0
2022-01-07 10:00:00,BMFBOVESPA:IBOV,101561.05,102719.47,101103.98,102719.47,0.0
2022-01-10 10:00:00,BMFBOVESPA:IBOV,102719.0,102719.0,101037.81,101945.2,0.0
2022-01-11 10:00:00,BMFBOVESPA:IBOV,101946.05,103780.45,101918.4,103778.98,0.0
2022-01-12 10:00:00,BMFBOVESPA:IBOV,103778.98,105869.32,103771.37,105685.66,0.0
2022-01-13 10:00:00,BMFBOVESPA:IBOV,105686.39,106250.94,104974.25,105529.5,0.0
2022-01-14 10:00:00,BMFBOVESPA:IBOV,105530.43,107061.73,105028.27,106927.79,0.0
2022-01-17 10:00:00,BMFBOVESPA:IBOV,106926.84,106927.76,106096.76,106373.87,0.0
2022-01-18 10:00:00,BMFBOVESPA:IBOV,106369.27,107012.6,105786.09,106667.66,0.0
2022-01-19 10:00:00,BMFBOVESPA:IBOV,106669.97,108601.77,106668.94,108013.47,0.0
2022-01-20 10:00:00,BMFBOVESPA:IBOV,108015.27,109873.35,108014.5,109101.99,0.0
2022-01-21 10:00:00,BMFBOVESPA:IBOV,109096.87,109785.76,108367.73,108941.68,0.0
2022-01-24 10:00:00,BMFBOVESPA:IBOV,108941.15,108948.16,106624.28,107937.11,0.0
2022-01-25 10:00:00,BMFBOVESPA:IBOV,107935.21,110711.1,107185.38,110203.77,0.0
2022-01-26 10:00:00,BMFBOVESPA:IBOV,110206.5,112694.6,110204.45,111289.18,0.0
2022-01-27 10:00:00,BMFBOVESPA:IBOV,111302.93,113057.03,111302.93,112611.65,0.0
2022-01-28 10:00:00,BMFBOVESPA:IBOV,112610.76,112968.87,111407.36,111910.1,0.0
2022-01-31 10:00:00,BMFBOVESPA:IBOV,111910.27,112678.44,111194.57,112143.51,0.0
2022-02-01 10:00:00,BMFBOVESPA:IBOV,112143.42,113302.13,112134.88,113228.31,0.0
2022-02-02 10:00:00,BMFBOVESPA:IBOV,113228.13,113665.9,111645.07,111894.36,0.0
2022-02-03 10:00:00,BMFBOVESPA:IBOV,111897.22,112502.18,111224.91,111695.94,0.0
2022-02-04 10:00:00,BMFBOVESPA:IBOV,111695.94,112415.43,110320.84,112244.94,0.0
2022-02-07 10:00:00,BMFBOVESPA:IBOV,112247.11,112516.6,111489.53,111996.4,0.0
2022-02-08 10:00:00,BMFBOVESPA:IBOV,111995.22,112251.37,110943.44,112234.46,0.0
2022-02-09 10:00:00,BMFBOVESPA:IBOV,112232.54,113163.31,111710.32,112461.39,0.0
2022-02-10 10:00:00,BMFBOVESPA:IBOV,112462.2,113812.47,112163.1,113367.77,0.0
2022-02-11 10:00:00,BMFBOVESPA:IBOV,113367.77,114899.26,113128.01,113572.35,0.0
2022-02-14 10:00:00,BMFBOVESPA:IBOV,113643.0,114167.0,113358.16,113899.19,0.0
2022-02-15 10:00:00,BMFBOVESPA:IBOV,113905.44,114828.18,113882.48,114828.18,0.0
2022-02-16 10:00:00,BMFBOVESPA:IBOV,114829.72,115734.45,114815.5,115180.95,0.0
2022-02-17 10:00:00,BMFBOVESPA:IBOV,115180.69,115214.29,113389.12,113528.48,0.0
2022-02-18 10:00:00,BMFBOVESPA:IBOV,113533.58,114213.43,112701.12,112879.85,0.0
2022-02-21 10:00:00,BMFBOVESPA:IBOV,112880.28,113404.77,111607.59,111725.3,0.0
2022-02-22 10:00:00,BMFBOVESPA:IBOV,111727.17,113314.97,111727.17,112891.8,0.0
2022-02-23 10:00:00,BMFBOVESPA:IBOV,112891.8,113721.38,111748.11,112007.61,0.0
2022-02-24 10:00:00,BMFBOVESPA:IBOV,112001.04,112001.04,109125.24,111591.87,0.0
2022-02-25 10:00:00,BMFBOVESPA:IBOV,111590.72,113141.94,110673.29,113141.94,0.0
2022-03-02 10:00:00,BMFBOVESPA:IBOV,113143.06,115428.9,113143.06,115173.61,0.0
2022-03-03 10:00:00,BMFBOVESPA:IBOV,115173.43,115947.68,115009.7,115165.55,0.0
2022-03-04 10:00:00,BMFBOVESPA:IBOV,115165.55,115165.55,113389.43,114473.78,0.0
2022-03-07 10:00:00,BMFBOVESPA:IBOV,114468.77,114529.28,111139.62,111593.46,0.0
2022-03-08 10:00:00,BMFBOVESPA:IBOV,111594.1,112389.86,110969.26,111203.45,0.0
2022-03-09 10:00:00,BMFBOVESPA:IBOV,111209.75,114051.39,111207.23,113900.34,0.0
2022-03-10 10:00:00,BMFBOVESPA:IBOV,113900.34,113939.0,111888.81,113663.13,0.0
2022-03-11 10:00:00,BMFBOVESPA:IBOV,113663.92,114627.23,111331.84,111713.07,0.0
2022-03-14 10:00:00,BMFBOVESPA:IBOV,111715.79,112298.93,109716.65,109927.62,0.0
2022-03-15 10:00:00,BMFBOVESPA:IBOV,109924.54,109924.54,107780.86,108959.3,0.0
2022-03-16 10:00:00,BMFBOVESPA:IBOV,108957.59,111183.45,108957.59,111112.43,0.0
2022-03-17 10:00:00,BMFBOVESPA:IBOV,111112.58,113087.75,111070.36,113076.33,0.0
2022-03-18 10:00:00,BMFBOVESPA:IBOV,113076.33,115310.91,112474.76,115310.91,0.0
2022-03-21 10:00:00,BMFBOVESPA:IBOV,115306.78,116359.55,115207.78,116154.53,0.0
2022-03-22 10:00:00,BMFBOVESPA:IBOV,116156.77,117540.64,116156.77,117272.44,0.0
2022-03-23 10:00:00,BMFBOVESPA:IBOV,117269.91,118269.79,117036.14,117457.34,0.0
2022-03-24 10:00:00,BMFBOVESPA:IBOV,117460.3,119256.41,117150.79,119052.91,0.0
2022-03-25 10:00:00,BMFBOVESPA:IBOV,119062.13,119728.7,118548.49,119081.13,0.0
2022-03-28 10:00:00,BMFBOVESPA:IBOV,119082.27,119444.42,118060.65,118737.78,0.0
2022-03-29 10:00:00,BMFBOVESPA:IBOV,118739.6,120900.02,118739.6,120014.17,0.0
2022-03-30 10:00:00,BMFBOVESPA:IBOV,120013.36,120531.15,119775.24,120259.76,0.0
2022-03-31 10:00:00,BMFBOVESPA:IBOV,120260.59,120879.66,119999.23,119999.23,0.0
2022-04-01 10:00:00,BMFBOVESPA:IBOV,120001.02,121578.84,120001.02,121570.15,0.0
2022-04-04 10:00:00,BMFBOVESPA:IBOV,121569.05,121570.09,120753.69,121279.51,0.0
2022-04-05 10:00:00,BMFBOVESPA:IBOV,121279.33,121628.22,118793.87,118885.15,0.0
2022-04-06 10:00:00,BMFBOVESPA:IBOV,118885.26,118885.26,116790.6,118227.75,0.0
2022-04-07 10:00:00,BMFBOVESPA:IBOV,118226.04,119247.25,117508.58,118862.12,0.0
